"","pfam_desc","gene_name1"
"1","AP2 domain","AT5G47220"
"2","Aminotransferase class I and II","AT1G71920"
"3","Terpene synthase family, metal binding domain","AT5G23960"
"4","Terpene synthase, N-terminal domain","AT5G23960"
"5","Protein of unknown function (DUF789)","AT4G28150"
"6","HAND","AT3G06400"
"7","SNF2 family N-terminal domain","AT3G06400"
"8","SLIDE","AT3G06400"
"9","Helicase conserved C-terminal domain","AT3G06400"
"10","Phosphoglycerate mutase family","AT5G64460"
"11","alpha/beta hydrolase fold","AT5G14310"
"12","Chalcone-flavanone isomerase","AT1G53520"
"13","C1 domain","AT4G13130"
"14","C1-like domain","AT4G13130"
"15","Rhomboid family","AT4G23070"
"16","Protein of unknown function (DUF1620)","AT5G11560"
"17","RNA binding activity-knot of a chromodomain","AT1G02740"
"18","MRG","AT1G02740"
"19","Late embryogenesis abundant protein 18","AT2G23120"
"20","Kelch motif","AT3G27910"
"21","Plant self-incompatibility protein S1","AT3G57840"
"22","UDP-glucoronosyl and UDP-glucosyl transferase","AT1G01390"
"23","LSM domain","AT3G11500"
"24","Phosphotyrosyl phosphate activator (PTPA) protein","AT4G08960"
"25","Arabidopsis proteins of unknown function","AT5G01360"
"26","Universal stress protein family","AT5G47740"
"27","Ras family","AT5G64990"
"28","DnaJ C terminal region","AT3G47940"
"29","DnaJ domain","AT3G47940"
"30","SAM dependent carboxyl methyltransferase","AT1G66700"
"31","Myb-like DNA-binding domain","AT5G11050"
"32","Ribonuclease 2-5A","AT5G24360"
"33","Protein kinase domain","AT5G24360"
"34","tRNA pseudouridine synthase D (TruD)","AT3G04820"
"35","SOR/SNZ family","AT2G38230"
"36","Histidine acid phosphatase","AT5G15070"
"37","Protein of unknown function (DUF567)","AT3G15810"
"38","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G16610"
"39","Cytochrome b(C-terminal)/b6/petD","ATMG00220"
"40","Cytochrome b(N-terminal)/b6/petB","ATMG00220"
"41","S1/P1 Nuclease","AT4G21600"
"42","Protein kinase domain","AT5G18610"
"43","B3 DNA binding domain","AT1G59750"
"44","Auxin response factor","AT1G59750"
"45","AUX/IAA family","AT1G59750"
"46","High-affinity nickel-transport protein","AT4G35080"
"47","GH3 auxin-responsive promoter","AT5G13370"
"48","WD domain, G-beta repeat","AT5G66240"
"49","F-box domain","AT3G21130"
"50","F-box associated","AT3G21130"
"51","Aminotransferase class I and II","AT3G48780"
"52","Zinc knuckle","AT3G42860"
"53","GRF zinc finger","AT3G42860"
"54","EamA-like transporter family","AT5G17630"
"55","Triose-phosphate Transporter family","AT5G17630"
"56","Proteasome non-ATPase 26S subunit","AT3G15180"
"57","Leucine Rich Repeat","AT3G17920"
"58","Hyccin","AT5G64090"
"59","Auxin responsive protein","AT1G79130"
"60","Ribosomal protein S26e","AT3G56340"
"61","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT2G14870"
"62","NUDIX domain","AT1G28960"
"63","Yip1 domain","AT2G36300"
"64","Domain of unknown function DUF26","AT4G20570"
"65","Protein of unknown function (DUF1204)","AT4G20570"
"66","G-protein alpha subunit","AT1G31930"
"67","Protein of unknown function (DUF1645)","AT2G26530"
"68","C-terminal, D2-small domain, of ClpB protein","AT5G15450"
"69","AAA domain (Cdc48 subfamily)","AT5G15450"
"70","ATPase family associated with various cellular activities (AAA)","AT5G15450"
"71","Clp amino terminal domain","AT5G15450"
"72","F-box domain","AT3G07870"
"73","F-box associated","AT3G07870"
"74","Transferase family","AT3G29690"
"75","ABC transporter","AT2G37010"
"76","Chalcone-flavanone isomerase","AT5G05270"
"77","Caleosin related protein","AT2G33380"
"78","Endonuclease/Exonuclease/phosphatase family","AT1G34120"
"79","Cleavage site for pathogenic type III effector avirulence factor Avr","AT3G25070"
"80","NLE (NUC135) domain","AT5G52820"
"81","WD domain, G-beta repeat","AT5G52820"
"82","Helix-loop-helix DNA-binding domain","AT4G05170"
"83","Peptidase S24-like","AT3G15710"
"84","Late embryogenesis abundant protein","AT1G72100"
"85","Core-2/I-Branching enzyme","AT5G22070"
"86","3' exoribonuclease family, domain 2","AT3G61620"
"87","3' exoribonuclease family, domain 1","AT3G61620"
"88","MCM2/3/5 family","AT2G16440"
"89","Protein of unknown function (DUF3049)","AT5G22090"
"90","Exostosin family","AT1G21480"
"91","Transmembrane amino acid transporter protein","AT4G38250"
"92","Protein of unknown function (DUF3531)","AT5G08400"
"93","Glycosyl hydrolases family 32 N-terminal domain","AT1G55120"
"94","Glycosyl hydrolases family 32 C terminal","AT1G55120"
"95","PPR repeat","AT2G19280"
"96","Cytochrome P450","AT3G26230"
"97","C1 domain","AT5G42280"
"98","C1-like domain","AT5G42280"
"99","ABC transporter","AT5G14100"
"100","3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal","AT2G28630"
"101","FAE1/Type III polyketide synthase-like protein","AT2G28630"
"102","GDSL-like Lipase/Acylhydrolase","AT1G20132"
"103","F-box associated","AT2G40910"
"104","Rhodanese-like domain","AT5G23060"
"105","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G51530"
"106","Kelch motif","AT5G03010"
"107","GPI transamidase subunit PIG-U","AT1G12730"
"108","FGGY family of carbohydrate kinases, C-terminal domain","AT4G30310"
"109","FGGY family of carbohydrate kinases, N-terminal domain","AT4G30310"
"110","Ribosomal protein S19","AT5G09500"
"111","HAD superfamily, subfamily IIIB (Acid phosphatase)","AT2G39920"
"112","Core-2/I-Branching enzyme","AT2G19160"
"113","NB-ARC domain","AT5G43470"
"114","ELK domain","AT4G32040"
"115","KNOX1 domain","AT4G32040"
"116","Homeobox domain","AT4G32040"
"117","KNOX2 domain","AT4G32040"
"118","Eukaryotic aspartyl protease","AT1G66180"
"119","GAGA binding protein-like family","AT4G38910"
"120","Phosphoribosyl transferase domain","AT3G54470"
"121","Orotidine 5'-phosphate decarboxylase / HUMPS family","AT3G54470"
"122","PPR repeat","AT1G11900"
"123","Endoplasmic Reticulum Oxidoreductin 1 (ERO1)","AT2G38960"
"124","Starch synthase catalytic domain","AT5G65685"
"125","Microtubule associated protein (MAP65/ASE1 family)","AT1G27920"
"126","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","AT5G58710"
"127","Wall-associated kinase","AT1G79670"
"128","Protein kinase domain","AT1G79670"
"129","Prenyltransferase and squalene oxidase repeat","AT5G48010"
"130","short chain dehydrogenase","AT5G65205"
"131","Ribosomal L18p/L5e family","AT3G25520"
"132","Peptidase family C50","AT4G22970"
"133","DNA methyltransferase 1-associated protein 1 (DMAP1)","AT2G47210"
"134","SRF-type transcription factor (DNA-binding and dimerisation domain)","AT5G51870"
"135","K-box region","AT5G51870"
"136","GINS complex subunit Sld5","AT3G55490"
"137","Zinc finger, C3HC4 type (RING finger)","AT1G33480"
"138","Ribosomal protein L36e","AT3G53740"
"139","AARP2CN (NUC121) domain","AT1G06720"
"140","Protein of unknown function (DUF663)","AT1G06720"
"141","Elongation factor Tu GTP binding domain","AT1G06720"
"142","Protein of unknown function (DUF803)","AT3G26670"
"143","Protein tyrosine kinase","AT4G35600"
"144","Protein of unknown function (DUF1664)","AT1G24265"
"145","IBR domain","AT4G34370"
